ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
48A-klk,klk,Koh (Lakka),48A,Person Marking on Adpositions,No person marking,Glidden-1985[279],
48A-bro,bro,Broken,48A,Person Marking on Adpositions,No person marking,Shnukal-1988[55],
48A-kna,kna,Karitiâna,48A,Person Marking on Adpositions,Pronouns only,Storto-1999[124-125],
48A-zsq,zsq,Zapotec (San Lucas Quiaviní),48A,Person Marking on Adpositions,Pronouns only,Munro-and-Lopez-1999[24],
48A-jur,jur,Jurchen,48A,Person Marking on Adpositions,No adpositions,"Hang-et-al-1989[21, 78-82]",
48A-mcr,mcr,Mauritian Creole,48A,Person Marking on Adpositions,No person marking,Baker-1972[111-14],
48A-cri,cri,Crimean Tatar,48A,Person Marking on Adpositions,No person marking,Jankowski-1992[287-298],
48A-kjo,kjo,Konjo,48A,Person Marking on Adpositions,No person marking,Friberg-1996[146],
48A-kuk,kuk,Kukú,48A,Person Marking on Adpositions,No person marking,Cohen-2000[147],
48A-lrk,lrk,Larike,48A,Person Marking on Adpositions,Pronouns only,"Laidig-1993[322, 334]",
48A-srm,srm,Saramaccan,48A,Person Marking on Adpositions,No person marking,Byrne-1987[60-67],
48A-tap,tap,Taiap,48A,Person Marking on Adpositions,No adpositions,"Kulick-and-Stroud-1992[21, 26]",
48A-kwz,kwz,Kwaza,48A,Person Marking on Adpositions,No adpositions,"van-der-Voort-2000[16, 68-73, 223-37]",
48A-psj,psj,Popoloca (San Juan Atzingo),48A,Person Marking on Adpositions,No person marking,"Kalstrom-Dolson-et-al-1995[324, passim]",
48A-uma,uma,Uma,48A,Person Marking on Adpositions,Pronouns only,"Martens-1988b[210, 231]",
48A-cap,cap,Capanahua,48A,Person Marking on Adpositions,No person marking,Lous-1969[30],
48A-xok,xok,Xokleng,48A,Person Marking on Adpositions,No person marking,Urban-1985[173],
48A-mle,mle,Maale,48A,Person Marking on Adpositions,No adpositions,Amha-2001[246-8],
48A-cmx,cmx,Comox,48A,Person Marking on Adpositions,No person marking,Harris-1981b[88],
48A-adz,adz,Adzera,48A,Person Marking on Adpositions,No person marking,Holzknecht-1986[134],
48A-cav,cav,Cavineña,48A,Person Marking on Adpositions,No person marking,"Camp-1985[39, 41, 42]",
48A-nad,nad,Nadëb,48A,Person Marking on Adpositions,No person marking,Weir-1986[356],
48A-yaw,yaw,Yawa,48A,Person Marking on Adpositions,Pronouns only,"Jones-1986a[40, 50]",
48A-can,can,Candoshi,48A,Person Marking on Adpositions,Pronouns only,Anderson-and-Wise-1963[100-102],
48A-saw,saw,Sawu,48A,Person Marking on Adpositions,No person marking,Walker-1982[13],
48A-mlm,mlm,Mlabri (Minor),48A,Person Marking on Adpositions,No person marking,Rischel-1995[154-58],
48A-ura,ura,Ura,48A,Person Marking on Adpositions,Pronouns only,Crowley-1999[145],
48A-tso,tso,Tsou,48A,Person Marking on Adpositions,No person marking,Szakos-1994[146-9],
48A-moa,moa,Mono-Alu,48A,Person Marking on Adpositions,No person marking,Fagan-1986[55],
48A-ckl,ckl,Chinook (Lower),48A,Person Marking on Adpositions,No person marking,Boas-1911b[650],
48A-hmr,hmr,Hamer,48A,Person Marking on Adpositions,No adpositions,Lydall-1976[409-13],
48A-atk,atk,Atakapa,48A,Person Marking on Adpositions,No person marking,Swanton-1929[137],
48A-cpn,cpn,Chepang,48A,Person Marking on Adpositions,No person marking,Caughley-1982[40],
48A-tir,tir,Tiriyo,48A,Person Marking on Adpositions,Pronouns only,Meira-1999[373],
48A-ane,ane,Anêm,48A,Person Marking on Adpositions,Pronouns only,"Thurston-1982[86, 100]",
48A-abn,abn,Arabana,48A,Person Marking on Adpositions,No adpositions,Hercus-1994[60-1],
48A-bnj,bnj,Bandjalang,48A,Person Marking on Adpositions,No adpositions,"Crowley-1978[58-81, 101-3]",
48A-dga,dga,Dagaare,48A,Person Marking on Adpositions,No person marking,Bodomo-1997[99-101],
48A-kpm,kpm,Kapampangan,48A,Person Marking on Adpositions,No person marking,Forman-1971[43-59],
48A-nyu,nyu,Nyulnyul,48A,Person Marking on Adpositions,No person marking,McGregor-1996[29-36],
48A-fua,fua,Fula (Cameroonian),48A,Person Marking on Adpositions,No person marking,Arnott-1970[24],
48A-iqu,iqu,Iquito,48A,Person Marking on Adpositions,Pronouns only,Eastman-and-Eastman-1963[168],
48A-msn,msn,Maisin,48A,Person Marking on Adpositions,No person marking,"Ross-1984[24, 57]",
48A-pny,pny,Panyjima,48A,Person Marking on Adpositions,No adpositions,Dench-1991[137-46],
