ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
40A-oix,oix,Otomí (Ixtenco),40A,Inclusive/Exclusive Distinction in Verbal Inflection,'We' the same as 'I',Lastra-1998[12],
40A-hum,hum,Huitoto (Murui),40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Petersen-de-Pineros-1994[56],
40A-qaw,qaw,Qawasqar,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No person marking,Clairis-1985[passim],
40A-sel,sel,Selknam,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No person marking,Najlis-1973[passim],
40A-bri,bri,Bribri,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No person marking,Constenla-Umana-et-al-1998[passim],
40A-kon,kon,Kongo,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Lumwamu-1973[119-120],
40A-lak,lak,Lak,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Helmbrecht-1996[131],
40A-eka,eka,Ekari,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Drabbe-1952[48],
40A-ham,ham,Hamtai,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Oates-and-Oates-1968[27 ff.],
40A-mrd,mrd,Marind,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Drabbe-1955[28 ff.],
40A-abi,abi,Abipón,40A,Inclusive/Exclusive Distinction in Verbal Inflection,'We' the same as 'I',Najlis-1966[30],
40A-mab,mab,Maba,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Tucker-and-Bryan-1966[200],
40A-una,una,Una,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Louwerse-1988[38-46],
40A-yuc,yuc,Yuchi,40A,Inclusive/Exclusive Distinction in Verbal Inflection,Inclusive/exclusive,Wagner-1933-1938[325-327],
40A-pso,pso,Pomo (Southeastern),40A,Inclusive/Exclusive Distinction in Verbal Inflection,No person marking,Moshinsky-1974[passim],
40A-snt,snt,Sentani,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Cowan-1965[28],
40A-krb,krb,Kiribati,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No person marking,Groves-et-al-1985[73 ff.],
40A-ypk,ypk,Yup'ik (Central),40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Jacobson-1985[389],
40A-fur,fur,Fur,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Jakobi-1990[92-93],
40A-ker,ker,Kera,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No person marking,Ebert-1979[passim],
40A-lad,lad,Ladakhi,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No person marking,Koshal-1979[179],
40A-lep,lep,Lepcha,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No person marking,Mainwaring-1971[44 ff.],
40A-tli,tli,Tlingit,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Swanton-1911b[170],
40A-wam,wam,Wambaya,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No person marking,Nordlinger-1998[157 ff.],
40A-bam,bam,Bambara,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No person marking,Kastenholz-1989[29-30],
40A-kyl,kyl,Kayah Li (Eastern),40A,Inclusive/Exclusive Distinction in Verbal Inflection,No person marking,Solnit-1997[passim],
40A-nti,nti,Ngiti,40A,Inclusive/Exclusive Distinction in Verbal Inflection,Only inclusive,Kutsch-Lojenga-1994[190-193],
40A-car,car,Carib,40A,Inclusive/Exclusive Distinction in Verbal Inflection,Only inclusive,Hoff-1968[134],
40A-mak,mak,Makah,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,,
40A-tsi,tsi,Tsimshian (Coast),40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Boas-1911c[384],
40A-tun,tun,Tunica,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Swanton-1919[21],
40A-sue,sue,Suena,40A,Inclusive/Exclusive Distinction in Verbal Inflection,Inclusive/exclusive,Wilson-1974[59-60],
40A-mku,mku,Maranungku,40A,Inclusive/Exclusive Distinction in Verbal Inflection,Inclusive/exclusive,Tryon-1970b[38-39],
40A-mrl,mrl,Murle,40A,Inclusive/Exclusive Distinction in Verbal Inflection,'We' the same as 'I',Arensen-1982[60 ff.],
40A-psm,psm,Passamaquoddy-Maliseet,40A,Inclusive/Exclusive Distinction in Verbal Inflection,Only inclusive,Leavitt-1996[9-10],
40A-pit,pit,Pitjantjatjara,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No person marking,Bowe-1990[23 ff.],
40A-ana,ana,Araona,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No person marking,Pitman-1980[26-27],
40A-cyv,cyv,Cayuvava,40A,Inclusive/Exclusive Distinction in Verbal Inflection,Inclusive/exclusive,Key-1967[28-29],
40A-dio,dio,Diola-Fogny,40A,Inclusive/Exclusive Distinction in Verbal Inflection,Inclusive/exclusive,Sapir-1965[90-91],
40A-arm,arm,Armenian (Eastern),40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Kozintseva-1995[21],
40A-aym,aym,Aymara (Central),40A,Inclusive/Exclusive Distinction in Verbal Inflection,Only inclusive,Deza-Galindo-1992;Hardman-2001[100 ff.],
40A-baw,baw,Bawm,40A,Inclusive/Exclusive Distinction in Verbal Inflection,No person marking,Reichle-1981[passim],
40A-nbd,nbd,Nubian (Dongolese),40A,Inclusive/Exclusive Distinction in Verbal Inflection,No inclusive/exclusive,Armbruster-1960[195 ff.],
