ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
34A-gus,gus,Gusii,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Cammenga-2002[198-243],
34A-blj,blj,Baale,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Yigezu-and-Dimmendaal-1998[291-3],
34A-kda,kda,Konda,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Krishnamurti-and-Benham-1998[247-50],
34A-mig,mig,Migama,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Jungraithmayr-and-Adams-1992[24-8],
34A-tmm,tmm,Tamabo,34A,Occurrence of Nominal Plurality,"Only human nouns, obligatory",Jauncey-2002[612-3],
34A-dug,dug,Dullay (Gollango),34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Amborn-et-al-1980,
34A-hoa,hoa,Hoava,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Davis-2003[55-6],
34A-ski,ski,Saami (Kildin),34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Kert-1971[136-41],
34A-tis,tis,Tibetan (Shigatse),34A,Occurrence of Nominal Plurality,No nominal plural,Haller-2000[59],
34A-ano,ano,Anong,34A,Occurrence of Nominal Plurality,"Only human nouns, optional",,
34A-olu,olu,Olutec,34A,Occurrence of Nominal Plurality,"All nouns, always optional",Zavala-2000[41-2],
34A-zaq,zaq,Zapotec (Quiegolani),34A,Occurrence of Nominal Plurality,No nominal plural,Black-2000,
34A-boz,boz,Bozo (Tigemaxo),34A,Occurrence of Nominal Plurality,"All nouns, always optional",Blecke-1996[105-8],
34A-hdi,hdi,Hdi,34A,Occurrence of Nominal Plurality,"All nouns, always optional",Frajzyngier-and-Shay-2002[46-7],
34A-nmi,nmi,Nahuatl (Mecayapan Isthmus),34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Wolgemuth-2002[49-50],
34A-mid,mid,Midob,34A,Occurrence of Nominal Plurality,"All nouns, always optional",Thelwall-1983[107];Werner-1993[27],
34A-pmc,pmc,Pomo (Central),34A,Occurrence of Nominal Plurality,"Only human nouns, optional",Mithun-1988a;Mithun-1988b[518-20],
34A-uli,uli,Ulithian,34A,Occurrence of Nominal Plurality,"All nouns, always optional",Lynch-2002b[796-7],
34A-sea,sea,Southeast Ambrym,34A,Occurrence of Nominal Plurality,"All nouns, always optional",Crowley-2002b,
34A-mdr,mdr,Madurese,34A,Occurrence of Nominal Plurality,"All nouns, always optional",Davies-1999[13],
34A-mto,mto,Malto,34A,Occurrence of Nominal Plurality,"Only human nouns, obligatory",Steever-1998c[362],
34A-dhi,dhi,Dhivehi,34A,Occurrence of Nominal Plurality,"All nouns, optional in inanimates",Cain-and-Gair-2000[18],
34A-kod,kod,Kodava,34A,Occurrence of Nominal Plurality,"Only human nouns, obligatory",Ebert-1996[30],
34A-kuk,kuk,Kukú,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Cohen-2000[37],
34A-bao,bao,Bao'an,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Wu-2003[332-3],
34A-bkt,bkt,Brokskat,34A,Occurrence of Nominal Plurality,"All nouns, always optional",Sharma-1998[58-9],
34A-wir,wir,Wirangu,34A,Occurrence of Nominal Plurality,No nominal plural,Hercus-1999a[42],
34A-gol,gol,Gola,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Koroma-1994[27-8],
34A-laz,laz,Laz,34A,Occurrence of Nominal Plurality,"All nouns, optional in inanimates","Kutscher-2001[83-129, 95-96]",
34A-zaz,zaz,Zazaki,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Selcan-1998[243-6],
34A-fon,fon,Fongbe,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Lefebvre-and-Brousseau-2002[38-9],
34A-itz,itz,Itzaj,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Hofling-2000[227],
34A-nse,nse,Nsenga,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Miti-2001[12-41],
34A-tik,tik,Tikar,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Stanley-1991[178],
34A-gaa,gaa,Gaagudju,34A,Occurrence of Nominal Plurality,"Only human nouns, obligatory","Harvey-2002[130-1, 268]",
34A-trw,trw,Torwali,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Lunsford-2001[63-4],
34A-ywr,ywr,Yawuru,34A,Occurrence of Nominal Plurality,"All nouns, always optional",Hosokawa-1991[29],
34A-yey,yey,Yeyi,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Lukusa-2002[1-28],
34A-deg,deg,Degema,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Kari-1997[26],
34A-grg,grg,Gurr-goni,34A,Occurrence of Nominal Plurality,No nominal plural,Green-1995[69],
34A-mdg,mdg,Mundang,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Elders-2000[118],
34A-soq,soq,Soqotri,34A,Occurrence of Nominal Plurality,"All nouns, always obligatory",Simeone-Senelle-1997[391-2],
